"jurisdicciones";"total_cantidad";"ap_nac";"ap_prov";"ap_desig_inter";"total_ha";"terrestre_ha";"marino_ha";"porcentaje_terrestre_protegido"
"Total";"652";"78";"531";"48";"53914996";"36693751";"17221245";"13.2"
"Buenos Aires";"57";"11";"40";"6";"1801533";"1083696";"717837";"3.54"
"Catamarca";"5";"-";"2";"3";"1849214";"1849214";"-";"18.22"
"Chaco";"32";"4";"27";"1";"972289";"972289";"-";"9.75"
"Chubut ";"27";"5";"17";"6";"5478384";"3158877";"2319507";"14.08"
"Ciudad A. de Buenos Aires";"4";"-";"3";"1";"402";"402";"-";"1.95"
"Córdoba";"37";"6";"30";"1";"2328511";"2328511";"-";"14.14"
"Corrientes";"20";"4";"15";"1";"1413814";"1413814";"-";"15.86"
"Entre Ríos";"34";"3";"29";"2";"1474980";"1474980";"-";"18.82"
"Formosa";"17";"2";"12";"3";"1365491";"1365491";"-";"18.09"
"Jujuy";"20";"2";"12";"6";"1955120";"1955120";"-";"36.72"
"La Pampa";"17";"1";"16";"-";"247356";"247356";"-";"1.72"
"La Rioja";"19";"1";"15";"3";"1045108";"1045108";"-";"11.42"
"Mendoza";"25";"1";"19";"5";"2573098";"2573098";"-";"17.26"
"Misiones";"117";"4";"110";"3";"775574";"775574";"-";"25.93"
"Neuquén";"20";"5";"12";"3";"1167322";"1167322";"-";"12.36"
"Río Negro";"16";"2";"13";"1";"4640386";"4505973";"134413";"22.29"
"Salta";"32";"5";"25";"2";"2890108";"2890108";"-";"18.6"
"San Juan";"23";"3";"16";"4";"2363260";"2363260";"-";"26.77"
"San Luis";"10";"1";"8";"1";"454350";"454350";"-";"6.03"
"Santa Cruz";"45";"7";"38";"2";"2213767";"1804575";"409192";"7.38"
"Santa Fe";"41";"4";"34";"3";"1317591";"1317591";"-";"9.89"
"Santiago Del Estero";"19";"1";"18";"-";"891642";"891642";"-";"6.51"
"Tierra del Fuego, Antártida e Islas del Atlántico Sur";"12";"2";"8";"3";"1336290";"613055";"723235";"29.62"
"Tucumán";"15";"2";"12";"1";"442345";"442345";"-";"19.58"
"Zona económica exclusiva (espacio marítimo comprendido entre las líneas de 12 y 200 millas)";"3";"3";"-";"-";"12917061";"-";"12917061";"-"
